id,final_world_state
train-A9230,1:pppp 2:_ 3:_ 4:_ 5:bb 6:_ 7:oooo
train-A9231,1:_ 2:ooo 3:_ 4:yyy 5:_ 6:_ 7:_
train-A9233,1:ppp 2:_ 3:ggg 4:oo 5:_ 6:_ 7:bb
train-A9235,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9236,1:_ 2:_ 3:rrrr 4:_ 5:_ 6:r 7:_
train-A9237,1:_ 2:_ 3:ppp 4:pp 5:_ 6:g 7:_
train-A9238,1:_ 2:_ 3:_ 4:rr 5:_ 6:_ 7:_
train-A9239,1:_ 2:_ 3:ooo 4:gggg 5:oo 6:bbb 7:_
train-A9240,1:bbb 2:_ 3:_ 4:_ 5:_ 6:yyy 7:_
train-A9241,1:_ 2:_ 3:_ 4:oor 5:yy 6:_ 7:_
train-A9242,1:ggg 2:_ 3:oy 4:_ 5:yy 6:_ 7:ooo
train-A9244,1:_ 2:_ 3:o 4:_ 5:o 6:oooo 7:rr
train-A9245,1:ggg 2:_ 3:_ 4:pp 5:ppp 6:_ 7:_
train-A9246,1:_ 2:ooo 3:oooo 4:_ 5:y 6:gg 7:ggg
train-A9248,1:rrr 2:_ 3:poo 4:_ 5:_ 6:o 7:rr
train-A9249,1:_ 2:_ 3:g 4:rrr 5:rr 6:_ 7:_
train-A9250,1:gggg 2:_ 3:ooo 4:ogy 5:_ 6:_ 7:_
train-A9251,1:_ 2:pp 3:rrr 4:_ 5:_ 6:_ 7:_
train-A9252,1:_ 2:_ 3:yyyy 4:ggg 5:rrrr 6:_ 7:_
train-A9253,1:_ 2:pp 3:o 4:p 5:_ 6:rr 7:oooo
train-A9254,1:_ 2:_ 3:pp 4:_ 5:pppp 6:rrrr 7:_
train-A9255,1:_ 2:r 3:_ 4:_ 5:yy 6:_ 7:_
train-A9256,1:ggg 2:_ 3:o 4:gggg 5:_ 6:_ 7:_
train-A9257,1:bbb 2:_ 3:pp 4:_ 5:_ 6:yyy 7:rr
train-A9258,1:_ 2:rrrr 3:g 4:_ 5:_ 6:bb 7:pppp
train-A9260,1:_ 2:gggg 3:_ 4:_ 5:rr 6:bb 7:gpp
train-A9261,1:_ 2:_ 3:pppp 4:_ 5:ppp 6:oo 7:rrrr
train-A9262,1:bbb 2:_ 3:_ 4:_ 5:rrr 6:rrr 7:_
train-A9263,1:_ 2:ggg 3:_ 4:ggg 5:_ 6:_ 7:_
train-A9264,1:bb 2:_ 3:pp 4:_ 5:_ 6:_ 7:ppp
train-A9265,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9266,1:o 2:gg 3:_ 4:g 5:gggg 6:_ 7:_
train-A9267,1:_ 2:bbb 3:pp 4:p 5:gggg 6:_ 7:_
train-A9268,1:_ 2:oooo 3:pp 4:pp 5:g 6:rrrr 7:_
train-A9269,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:p
train-A9270,1:pp 2:_ 3:_ 4:_ 5:oooo 6:_ 7:ygg
train-A9271,1:o 2:yyy 3:_ 4:yyy 5:pp 6:yyyy 7:_
train-A9272,1:_ 2:y 3:gp 4:_ 5:_ 6:_ 7:rrr
train-A9273,1:_ 2:gggg 3:_ 4:y 5:p 6:_ 7:_
train-A9274,1:_ 2:_ 3:ppp 4:_ 5:_ 6:_ 7:py
train-A9275,1:_ 2:_ 3:_ 4:ppg 5:_ 6:y 7:y
train-A9276,1:poo 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9277,1:_ 2:r 3:_ 4:_ 5:_ 6:yyy 7:yyy
train-A9278,1:oooo 2:_ 3:_ 4:ggg 5:yyyy 6:_ 7:bb
train-A9279,1:_ 2:b 3:_ 4:_ 5:rrr 6:ooo 7:_
train-A9280,1:ggg 2:_ 3:ppp 4:_ 5:gpp 6:yyyy 7:ggy
train-A9281,1:_ 2:_ 3:pp 4:pp 5:_ 6:_ 7:yyy
train-A9282,1:r 2:ooo 3:_ 4:_ 5:_ 6:_ 7:_
train-A9283,1:yyy 2:_ 3:_ 4:_ 5:r 6:_ 7:_
train-A9284,1:rrrr 2:_ 3:_ 4:ro 5:rrrr 6:gg 7:_
train-A9286,1:ppp 2:_ 3:_ 4:_ 5:rrr 6:_ 7:p
train-A9287,1:o 2:pp 3:_ 4:_ 5:r 6:_ 7:_
train-A9288,1:_ 2:y 3:y 4:_ 5:_ 6:bbb 7:_
train-A9289,1:ggg 2:g 3:_ 4:rr 5:_ 6:yyyy 7:_
train-A9290,1:y 2:gg 3:_ 4:_ 5:_ 6:gg 7:rrr
train-A9291,1:_ 2:ppp 3:yy 4:rr 5:ggg 6:_ 7:_
train-A9292,1:_ 2:pppp 3:r 4:_ 5:_ 6:yy 7:_
train-A9293,1:rr 2:yyy 3:bb 4:_ 5:_ 6:_ 7:_
train-A9294,1:ooo 2:bbb 3:_ 4:_ 5:gg 6:_ 7:oooo
train-A9296,1:_ 2:_ 3:pppp 4:g 5:yyyy 6:_ 7:_
train-A9297,1:rr 2:_ 3:g 4:_ 5:pr 6:oooo 7:_
train-A9299,1:bbb 2:g 3:_ 4:_ 5:_ 6:opp 7:_
train-A9300,1:_ 2:oo 3:_ 4:_ 5:_ 6:_ 7:_
train-A9301,1:_ 2:ooo 3:_ 4:ppp 5:bbb 6:_ 7:_
train-A9302,1:bb 2:_ 3:_ 4:_ 5:oooo 6:yyyy 7:rrrr
train-A9303,1:_ 2:_ 3:_ 4:bb 5:_ 6:yyo 7:_
train-A9304,1:_ 2:ggg 3:_ 4:_ 5:ppp 6:_ 7:r
train-A9305,1:_ 2:_ 3:_ 4:pppp 5:_ 6:oy 7:_
train-A9307,1:_ 2:gggg 3:_ 4:_ 5:oo 6:_ 7:_
train-A9308,1:_ 2:yy 3:_ 4:_ 5:_ 6:_ 7:_
train-A9309,1:_ 2:ppp 3:_ 4:oooo 5:gpp 6:_ 7:_
train-A9310,1:rrr 2:_ 3:yyyy 4:pppp 5:_ 6:ppg 7:_
train-A9311,1:pp 2:r 3:_ 4:r 5:bbb 6:_ 7:yyyy
train-A9312,1:pppp 2:_ 3:_ 4:rrr 5:or 6:oooo 7:_
train-A9313,1:bbb 2:_ 3:o 4:_ 5:gp 6:_ 7:_
train-A9314,1:_ 2:_ 3:_ 4:rr 5:_ 6:pppp 7:_
train-A9315,1:_ 2:ggg 3:rrr 4:_ 5:_ 6:_ 7:_
train-A9316,1:_ 2:_ 3:yyy 4:_ 5:_ 6:bbb 7:_
train-A9318,1:_ 2:_ 3:_ 4:gyy 5:_ 6:rr 7:_
train-A9319,1:_ 2:yyy 3:_ 4:yyy 5:or 6:_ 7:ggg
train-A9321,1:_ 2:_ 3:yyy 4:pp 5:r 6:_ 7:rrrr
train-A9322,1:ppp 2:_ 3:gggg 4:_ 5:bbg 6:_ 7:_
train-A9323,1:_ 2:ooo 3:bbb 4:gggg 5:oo 6:_ 7:_
train-A9324,1:rrrr 2:bbb 3:p 4:_ 5:_ 6:_ 7:ppp
train-A9326,1:_ 2:g 3:_ 4:_ 5:_ 6:ppp 7:_
train-A9327,1:_ 2:_ 3:_ 4:pp 5:_ 6:_ 7:_
train-A9328,1:_ 2:_ 3:bbb 4:pp 5:_ 6:_ 7:_
train-A9329,1:_ 2:_ 3:pp 4:_ 5:_ 6:o 7:_
train-A9330,1:_ 2:gg 3:oo 4:o 5:rr 6:_ 7:_
train-A9331,1:_ 2:r 3:ooo 4:_ 5:ggg 6:bbb 7:_
train-A9333,1:pp 2:_ 3:_ 4:pppp 5:_ 6:_ 7:rrr
train-A9334,1:_ 2:_ 3:pyy 4:pp 5:_ 6:bbb 7:gggg
train-A9335,1:bbb 2:_ 3:rrrr 4:rr 5:_ 6:_ 7:_
train-A9336,1:_ 2:_ 3:py 4:_ 5:_ 6:_ 7:rrr
train-A9337,1:_ 2:ooo 3:_ 4:rrr 5:_ 6:g 7:ooo
train-A9338,1:_ 2:y 3:gggg 4:_ 5:_ 6:_ 7:_
train-A9339,1:p 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9340,1:_ 2:_ 3:y 4:_ 5:y 6:_ 7:_
train-A9341,1:rrr 2:_ 3:o 4:rrrr 5:_ 6:_ 7:_
train-A9342,1:_ 2:_ 3:pppp 4:yyyy 5:bbo 6:_ 7:_
train-A9343,1:og 2:_ 3:_ 4:_ 5:y 6:_ 7:ooo
train-A9344,1:_ 2:_ 3:gggg 4:_ 5:_ 6:yyyy 7:bbb
train-A9348,1:_ 2:_ 3:_ 4:_ 5:pp 6:_ 7:ppp
train-A9349,1:gggg 2:_ 3:gggg 4:yyyy 5:ooo 6:oog 7:_
train-A9350,1:g 2:oooo 3:_ 4:_ 5:ryy 6:_ 7:_
train-A9351,1:_ 2:_ 3:ro 4:_ 5:_ 6:oooo 7:_
train-A9352,1:rr 2:_ 3:pp 4:gg 5:r 6:_ 7:oo
train-A9353,1:_ 2:_ 3:_ 4:_ 5:ppp 6:_ 7:oo
train-A9355,1:_ 2:ggg 3:b 4:_ 5:_ 6:_ 7:_
train-A9357,1:_ 2:_ 3:o 4:_ 5:oooo 6:_ 7:_
train-A9358,1:_ 2:yy 3:ooo 4:_ 5:_ 6:_ 7:b
train-A9359,1:yyy 2:_ 3:_ 4:yy 5:_ 6:_ 7:_
train-A9360,1:_ 2:rrr 3:pp 4:_ 5:pppp 6:_ 7:rrrr
train-A9361,1:_ 2:_ 3:yy 4:_ 5:_ 6:_ 7:opp
train-A9362,1:_ 2:_ 3:_ 4:r 5:_ 6:_ 7:_
train-A9363,1:_ 2:r 3:_ 4:_ 5:_ 6:y 7:yyyy
train-A9364,1:rgp 2:ppp 3:yyy 4:_ 5:_ 6:_ 7:ggg
train-A9365,1:bbb 2:go 3:_ 4:_ 5:_ 6:_ 7:g
train-A9366,1:_ 2:ypp 3:ggg 4:_ 5:_ 6:_ 7:ppp
train-A9367,1:yyg 2:p 3:_ 4:_ 5:_ 6:oo 7:g
train-A9369,1:ppp 2:_ 3:oo 4:bbb 5:ggg 6:rrr 7:_
train-A9370,1:rrr 2:ppp 3:_ 4:rrrr 5:_ 6:bbb 7:_
train-A9371,1:oo 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9372,1:_ 2:_ 3:_ 4:bbb 5:pp 6:_ 7:_
train-A9374,1:_ 2:_ 3:_ 4:_ 5:bbb 6:ggg 7:_
train-A9375,1:oo 2:_ 3:yyyy 4:_ 5:_ 6:_ 7:bbb
train-A9376,1:ppp 2:yy 3:bbb 4:_ 5:_ 6:_ 7:_
train-A9377,1:_ 2:gggg 3:bb 4:ppp 5:_ 6:ggg 7:_
train-A9379,1:pp 2:_ 3:_ 4:_ 5:yy 6:_ 7:_
train-A9380,1:_ 2:_ 3:_ 4:_ 5:rrr 6:_ 7:g
train-A9381,1:_ 2:bb 3:y 4:_ 5:ppp 6:rrr 7:_
train-A9383,1:oooo 2:pp 3:_ 4:_ 5:_ 6:_ 7:pppp
train-A9384,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9387,1:_ 2:_ 3:y 4:ooo 5:_ 6:_ 7:_
train-A9388,1:_ 2:_ 3:_ 4:oo 5:_ 6:ooo 7:_
train-A9389,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9390,1:_ 2:_ 3:oo 4:oooo 5:_ 6:pgg 7:_
train-A9391,1:_ 2:b 3:ppp 4:_ 5:_ 6:_ 7:_
train-A9392,1:bbb 2:ppp 3:ooo 4:_ 5:ooo 6:_ 7:oooo
train-A9393,1:_ 2:_ 3:_ 4:_ 5:gr 6:_ 7:_
train-A9394,1:_ 2:_ 3:rr 4:bbb 5:oooo 6:bbb 7:ooo
train-A9395,1:_ 2:_ 3:_ 4:_ 5:_ 6:oooo 7:_
train-A9396,1:_ 2:o 3:_ 4:_ 5:_ 6:_ 7:_
train-A9397,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9399,1:_ 2:bbb 3:_ 4:_ 5:yyy 6:_ 7:oo
train-A9400,1:_ 2:y 3:ooo 4:ooo 5:_ 6:_ 7:o
train-A9401,1:y 2:g 3:_ 4:_ 5:pppp 6:_ 7:_
train-A9402,1:p 2:_ 3:_ 4:_ 5:_ 6:_ 7:ooo
train-A9403,1:_ 2:_ 3:p 4:gg 5:_ 6:ooo 7:bbb
train-A9404,1:_ 2:_ 3:_ 4:_ 5:ooo 6:oy 7:ppp
train-A9405,1:pp 2:rpp 3:p 4:o 5:_ 6:_ 7:_
train-A9406,1:_ 2:_ 3:bbb 4:_ 5:_ 6:r 7:_
train-A9408,1:g 2:_ 3:ryy 4:_ 5:o 6:o 7:_
train-A9409,1:p 2:r 3:p 4:_ 5:p 6:_ 7:_
train-A9410,1:_ 2:yyyy 3:y 4:_ 5:_ 6:_ 7:yyyy
train-A9411,1:_ 2:b 3:_ 4:_ 5:ggg 6:_ 7:_
train-A9412,1:_ 2:_ 3:rrr 4:_ 5:_ 6:_ 7:ooo
train-A9413,1:ppp 2:_ 3:_ 4:oo 5:_ 6:oo 7:rrrr
train-A9414,1:_ 2:_ 3:_ 4:_ 5:_ 6:bb 7:po
train-A9415,1:_ 2:_ 3:_ 4:y 5:_ 6:_ 7:rrrr
train-A9416,1:gggg 2:ooo 3:_ 4:_ 5:_ 6:_ 7:poo
train-A9417,1:_ 2:_ 3:_ 4:yyyy 5:_ 6:_ 7:bbb
train-A9418,1:_ 2:_ 3:_ 4:rgg 5:oooo 6:ppp 7:gg
train-A9419,1:bbb 2:rrr 3:_ 4:_ 5:oooo 6:_ 7:_
train-A9420,1:_ 2:o 3:p 4:ggg 5:rr 6:_ 7:_
train-A9421,1:_ 2:_ 3:ggg 4:bb 5:_ 6:_ 7:_
train-A9422,1:_ 2:ggg 3:_ 4:oo 5:oo 6:_ 7:_
train-A9423,1:_ 2:_ 3:_ 4:yyy 5:_ 6:oo 7:_
train-A9424,1:_ 2:ggg 3:rgg 4:_ 5:oo 6:yrr 7:_
train-A9425,1:_ 2:_ 3:_ 4:_ 5:yyyy 6:ooo 7:ooo
train-A9426,1:_ 2:_ 3:gg 4:_ 5:pr 6:_ 7:yyy
train-A9429,1:ggg 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9430,1:_ 2:_ 3:_ 4:y 5:r 6:_ 7:_
train-A9431,1:_ 2:ppp 3:_ 4:_ 5:yy 6:gpp 7:_
train-A9432,1:ppp 2:bbb 3:_ 4:_ 5:_ 6:_ 7:_
train-A9433,1:bbb 2:_ 3:ggg 4:_ 5:_ 6:_ 7:_
train-A9435,1:_ 2:g 3:go 4:_ 5:_ 6:_ 7:_
train-A9436,1:_ 2:p 3:_ 4:g 5:_ 6:_ 7:gggg
train-A9437,1:_ 2:_ 3:_ 4:_ 5:_ 6:orr 7:oooo
train-A9438,1:_ 2:bb 3:yyyy 4:yy 5:_ 6:_ 7:_
train-A9439,1:b 2:_ 3:oooo 4:_ 5:rrrr 6:_ 7:yyy
train-A9440,1:_ 2:_ 3:_ 4:_ 5:_ 6:bbb 7:gg
train-A9441,1:_ 2:_ 3:yyy 4:_ 5:yr 6:_ 7:_
train-A9442,1:_ 2:p 3:rrr 4:_ 5:_ 6:_ 7:y
train-A9445,1:r 2:rr 3:p 4:y 5:_ 6:g 7:gg
train-A9447,1:g 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9448,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9449,1:oooo 2:_ 3:_ 4:_ 5:_ 6:_ 7:rrr
train-A9450,1:ppr 2:gggg 3:_ 4:_ 5:_ 6:bbb 7:_
train-A9451,1:yy 2:gg 3:_ 4:_ 5:_ 6:_ 7:_
train-A9452,1:yyo 2:_ 3:rr 4:_ 5:_ 6:_ 7:yy
train-A9453,1:_ 2:_ 3:o 4:rro 5:_ 6:gggg 7:pp
train-A9454,1:gggg 2:_ 3:_ 4:yy 5:yyy 6:o 7:rrr
train-A9455,1:_ 2:_ 3:pp 4:_ 5:oo 6:pp 7:_
train-A9456,1:_ 2:_ 3:_ 4:_ 5:bbb 6:_ 7:_
train-A9457,1:_ 2:_ 3:_ 4:pppp 5:o 6:oooo 7:_
train-A9458,1:yyy 2:yy 3:_ 4:_ 5:_ 6:yyy 7:rrrr
train-A9459,1:_ 2:_ 3:yyy 4:_ 5:g 6:b 7:_
train-A9460,1:pp 2:yyyy 3:_ 4:_ 5:y 6:bbb 7:_
train-A9461,1:_ 2:p 3:_ 4:_ 5:_ 6:_ 7:_
train-A9462,1:r 2:_ 3:ooo 4:ggg 5:bbb 6:oo 7:_
train-A9463,1:prr 2:_ 3:_ 4:_ 5:p 6:_ 7:rrr
train-B21069,1:_ 2:rrr 3:rrr 4:_ 5:ggp 6:_ 7:_
train-B21070,1:p 2:_ 3:_ 4:_ 5:rrrr 6:_ 7:_
train-B21071,1:_ 2:_ 3:_ 4:_ 5:yyy 6:_ 7:gyy
train-B21072,1:_ 2:oo 3:r 4:bbb 5:p 6:ppp 7:_
train-B21073,1:_ 2:ppp 3:y 4:r 5:_ 6:p 7:ggg
train-B21074,1:rr 2:_ 3:oooo 4:_ 5:gg 6:pppp 7:gpr
train-B21077,1:_ 2:_ 3:_ 4:_ 5:_ 6:rrrr 7:_
train-B21078,1:rr 2:pppp 3:_ 4:pppp 5:_ 6:rrr 7:_
train-B21079,1:_ 2:_ 3:rr 4:_ 5:_ 6:_ 7:gggg
train-B21080,1:ggg 2:_ 3:_ 4:rrr 5:_ 6:yrr 7:pppp
train-B21081,1:_ 2:_ 3:_ 4:bbb 5:ppp 6:_ 7:gg
train-B21082,1:gg 2:pppp 3:_ 4:_ 5:_ 6:ppp 7:bbb
train-B21083,1:_ 2:rrrr 3:_ 4:gg 5:_ 6:_ 7:_
train-B21084,1:_ 2:gggg 3:yyy 4:rrr 5:ooo 6:bb 7:_
train-B21085,1:_ 2:_ 3:_ 4:rr 5:p 6:_ 7:_
train-B21086,1:bbb 2:_ 3:oo 4:_ 5:_ 6:_ 7:pppp
train-B21087,1:bbb 2:_ 3:_ 4:ooo 5:_ 6:g 7:g
train-B21088,1:_ 2:_ 3:_ 4:oooo 5:_ 6:_ 7:yy
train-B21090,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-B21091,1:yy 2:_ 3:ggg 4:_ 5:_ 6:_ 7:_
train-B21092,1:_ 2:_ 3:_ 4:_ 5:ooo 6:_ 7:_
train-B21093,1:_ 2:_ 3:gggg 4:_ 5:rr 6:_ 7:_
train-B21094,1:_ 2:bbb 3:yy 4:_ 5:gg 6:gggg 7:rr
train-B21095,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-B21096,1:rrp 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-B21097,1:_ 2:rrrr 3:_ 4:_ 5:ppp 6:ppp 7:_
train-B21098,1:bbb 2:ppp 3:yyyy 4:gg 5:_ 6:_ 7:_
train-B21100,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:p
train-B21101,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-B21102,1:_ 2:_ 3:yyy 4:oy 5:_ 6:_ 7:pppp
train-B21103,1:yyyy 2:_ 3:_ 4:yyy 5:ggg 6:pp 7:_
train-B21104,1:_ 2:_ 3:_ 4:b 5:gggg 6:gg 7:p
train-B21105,1:_ 2:g 3:_ 4:_ 5:_ 6:ooo 7:_
train-B21106,1:yy 2:bbb 3:oo 4:_ 5:r 6:_ 7:gggg
train-B21107,1:bbb 2:bbb 3:_ 4:_ 5:_ 6:yyy 7:_
train-B21108,1:_ 2:oooo 3:yyy 4:_ 5:_ 6:oo 7:_
train-B21109,1:_ 2:ppp 3:ppp 4:oo 5:o 6:_ 7:_
train-B21110,1:_ 2:_ 3:_ 4:_ 5:_ 6:pp 7:ggg
train-B21111,1:_ 2:_ 3:_ 4:r 5:_ 6:_ 7:_
train-B21112,1:rrrr 2:_ 3:bbb 4:ppp 5:yyy 6:y 7:ggg
train-B21114,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-B21115,1:oo 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-B21116,1:_ 2:_ 3:_ 4:y 5:p 6:o 7:_
train-B21117,1:_ 2:ppg 3:_ 4:_ 5:_ 6:_ 7:pppp
train-B21118,1:_ 2:gyy 3:_ 4:_ 5:yyyy 6:rr 7:_
train-B21119,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-B21120,1:_ 2:rrr 3:_ 4:ppp 5:_ 6:_ 7:_
train-B21121,1:goo 2:_ 3:_ 4:yyyy 5:_ 6:_ 7:_
train-B21122,1:_ 2:_ 3:oooo 4:bbb 5:_ 6:_ 7:ggg
train-B21123,1:ppp 2:yy 3:_ 4:_ 5:_ 6:_ 7:_
train-B21124,1:rr 2:_ 3:_ 4:_ 5:pr 6:ooo 7:_
train-B21125,1:_ 2:_ 3:pppp 4:yyy 5:_ 6:pp 7:o
train-B21126,1:g 2:rrr 3:_ 4:_ 5:_ 6:_ 7:bbb
train-B21128,1:o 2:ooo 3:_ 4:ygg 5:_ 6:_ 7:ggg
train-B21129,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-B21130,1:_ 2:bbb 3:_ 4:rr 5:gg 6:ooo 7:_
train-B21131,1:r 2:_ 3:pp 4:gg 5:yyy 6:_ 7:oooo
train-B21132,1:ggg 2:ggg 3:_ 4:_ 5:por 6:p 7:_
train-B21133,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-B21134,1:y 2:oooo 3:gg 4:rrrr 5:_ 6:y 7:_
train-B21135,1:gg 2:rrrr 3:_ 4:_ 5:pp 6:_ 7:_
train-B21136,1:_ 2:_ 3:_ 4:_ 5:_ 6:yy 7:y
train-B21137,1:_ 2:p 3:_ 4:_ 5:_ 6:_ 7:_
train-B21138,1:_ 2:_ 3:yy 4:ggg 5:rr 6:pp 7:_
train-B21139,1:_ 2:_ 3:ppp 4:_ 5:_ 6:ggg 7:pppp
train-B21140,1:_ 2:oo 3:yy 4:_ 5:_ 6:rrrr 7:_
train-B21141,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-B21142,1:_ 2:_ 3:g 4:_ 5:_ 6:p 7:_
train-B21143,1:oooo 2:g 3:_ 4:r 5:_ 6:_ 7:r
train-B21144,1:ggg 2:ooo 3:_ 4:_ 5:ppp 6:gggg 7:_
train-B21145,1:_ 2:_ 3:_ 4:_ 5:_ 6:ppp 7:bb
train-B21146,1:oooo 2:_ 3:_ 4:grr 5:o 6:ppg 7:_
train-B21147,1:_ 2:_ 3:_ 4:_ 5:gggg 6:_ 7:_
train-B21148,1:yyy 2:_ 3:_ 4:_ 5:o 6:gbb 7:_
train-B21149,1:_ 2:pppp 3:_ 4:ooo 5:bbb 6:ooo 7:_
