id,final_world_state
train-A9188-2,1:ggp 2:_ 3:rrr 4:_ 5:pp 6:yy 7:yyyy
train-A9188-3,1:bbb 2:_ 3:rrr 4:_ 5:pp 6:yy 7:yyyy
train-A9188-4,1:bbb 2:_ 3:rrr 4:_ 5:pp 6:yy 7:y
train-A9189-0,1:y 2:gg 3:_ 4:pppp 5:gggg 6:oo 7:_
train-A9189-1,1:ygg 2:_ 3:_ 4:pppp 5:gggg 6:oo 7:_
train-A9189-2,1:ygg 2:_ 3:_ 4:pppp 5:g 6:oo 7:_
train-A9189-3,1:ygg 2:_ 3:_ 4:pppp 5:goo 6:_ 7:_
train-A9189-4,1:bbb 2:_ 3:_ 4:pppp 5:goo 6:_ 7:_
train-A9190-0,1:_ 2:_ 3:p 4:oo 5:oo 6:gg 7:rr
train-A9190-1,1:_ 2:_ 3:poo 4:oo 5:_ 6:gg 7:rr
train-A9190-2,1:_ 2:_ 3:poo 4:oo 5:_ 6:gg 7:r
train-A9190-3,1:_ 2:_ 3:poo 4:_ 5:_ 6:gg 7:r
train-A9190-4,1:_ 2:_ 3:poo 4:_ 5:_ 6:ggr 7:_
train-A9191-0,1:g 2:_ 3:p 4:_ 5:_ 6:g 7:ggg
train-A9191-1,1:g 2:_ 3:_ 4:_ 5:_ 6:gp 7:ggg
train-A9191-2,1:g 2:_ 3:_ 4:_ 5:_ 6:bb 7:ggg
train-A9191-3,1:gbb 2:_ 3:_ 4:_ 5:_ 6:_ 7:ggg
train-A9191-4,1:gbb 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9192-0,1:pp 2:_ 3:_ 4:g 5:oo 6:rr 7:o
train-A9192-1,1:pp 2:_ 3:_ 4:g 5:o 6:rr 7:o
train-A9192-2,1:pp 2:_ 3:_ 4:g 5:orr 6:_ 7:o
train-A9192-3,1:_ 2:_ 3:_ 4:g 5:orr 6:_ 7:o
train-A9192-4,1:_ 2:_ 3:_ 4:g 5:orr 6:_ 7:_
train-A9193-0,1:ppp 2:ooo 3:oo 4:gg 5:g 6:ppp 7:p
train-A9193-1,1:ppp 2:o 3:oo 4:gg 5:g 6:ppp 7:p
train-A9193-2,1:ppp 2:op 3:oo 4:gg 5:g 6:ppp 7:_
train-A9193-3,1:ppp 2:opg 3:oo 4:gg 5:_ 6:ppp 7:_
train-A9193-4,1:ppp 2:opg 3:oo 4:_ 5:_ 6:ppp 7:_
train-A9194-0,1:p 2:ppp 3:yyy 4:o 5:pp 6:_ 7:y
train-A9194-1,1:p 2:_ 3:yyy 4:o 5:pp 6:_ 7:y
train-A9194-2,1:p 2:_ 3:yyy 4:o 5:pp 6:_ 7:_
train-A9194-3,1:p 2:_ 3:yyy 4:_ 5:pp 6:_ 7:_
train-A9194-4,1:ppp 2:_ 3:yyy 4:_ 5:_ 6:_ 7:_
train-A9195-0,1:r 2:oooo 3:ooo 4:p 5:ggg 6:oo 7:g
train-A9195-1,1:r 2:oooo 3:ooo 4:p 5:ggg 6:_ 7:g
train-A9195-2,1:r 2:oooo 3:ooo 4:_ 5:ggg 6:_ 7:g
train-A9195-3,1:rg 2:oooo 3:ooo 4:_ 5:ggg 6:_ 7:_
train-A9195-4,1:bb 2:oooo 3:ooo 4:_ 5:ggg 6:_ 7:_
train-A9196-0,1:_ 2:_ 3:ooo 4:yyyy 5:p 6:_ 7:yy
train-A9196-1,1:_ 2:_ 3:ooo 4:yyyy 5:pyy 6:_ 7:_
train-A9196-2,1:_ 2:_ 3:ooo 4:yyyy 5:bbb 6:_ 7:_
train-A9196-3,1:_ 2:_ 3:ooo 4:yyyy 5:b 6:_ 7:_
train-A9196-4,1:_ 2:_ 3:ooo 4:yyy 5:b 6:_ 7:_
train-A9197-0,1:yyyy 2:_ 3:gggg 4:ggg 5:gg 6:_ 7:yyyy
train-A9197-1,1:yyyy 2:_ 3:gggg 4:ggg 5:g 6:_ 7:yyyy
train-A9197-2,1:yyyy 2:_ 3:g 4:ggg 5:g 6:_ 7:yyyy
train-A9197-3,1:yyyy 2:_ 3:_ 4:ggg 5:g 6:_ 7:yyyy
train-A9197-4,1:yyyy 2:_ 3:_ 4:ggg 5:g 6:_ 7:y
train-A9198-0,1:ooo 2:gggg 3:oo 4:pp 5:rrr 6:ppp 7:gggg
train-A9198-1,1:ooo 2:gggg 3:oo 4:pp 5:rr 6:ppp 7:gggg
train-A9198-2,1:ooo 2:gggg 3:oo 4:pp 5:_ 6:ppp 7:gggg
train-A9198-3,1:ooo 2:gg 3:oo 4:pp 5:_ 6:ppp 7:gggg
train-A9198-4,1:ooo 2:gg 3:o 4:pp 5:_ 6:ppp 7:gggg
train-A9199-0,1:_ 2:oooo 3:o 4:_ 5:gg 6:oo 7:p
train-A9199-1,1:_ 2:oooo 3:_ 4:_ 5:gg 6:ooo 7:p
train-A9199-2,1:_ 2:oooo 3:_ 4:_ 5:_ 6:ooo 7:pgg
train-A9199-3,1:_ 2:oooo 3:_ 4:_ 5:_ 6:ooo 7:bbb
train-A9199-4,1:_ 2:oooo 3:_ 4:_ 5:_ 6:ooo 7:b
train-A9200-0,1:p 2:pp 3:ggg 4:rrrr 5:pppp 6:oo 7:_
train-A9200-1,1:poo 2:pp 3:ggg 4:rrrr 5:pppp 6:_ 7:_
train-A9200-2,1:bbb 2:pp 3:ggg 4:rrrr 5:pppp 6:_ 7:_
train-A9200-3,1:_ 2:pp 3:ggg 4:rrrr 5:pppp 6:_ 7:_
train-A9200-4,1:_ 2:pp 3:ggg 4:rr 5:pppp 6:_ 7:_
train-A9201-0,1:yyy 2:yyyy 3:p 4:_ 5:_ 6:_ 7:oooo
train-A9201-1,1:y 2:yyyy 3:p 4:_ 5:_ 6:_ 7:oooo
train-A9201-2,1:_ 2:yyyy 3:p 4:_ 5:_ 6:_ 7:oooo
train-A9201-3,1:_ 2:yyy 3:p 4:_ 5:_ 6:_ 7:oooo
train-A9201-4,1:_ 2:yyy 3:_ 4:_ 5:_ 6:_ 7:oooo
train-A9202-0,1:gg 2:ppp 3:o 4:gggg 5:_ 6:ggg 7:pp
train-A9202-1,1:gg 2:ppp 3:_ 4:gggg 5:_ 6:ggg 7:pp
train-A9202-2,1:gg 2:ppp 3:_ 4:gggg 5:_ 6:ggg 7:_
train-A9202-3,1:gg 2:ppp 3:_ 4:ggg 5:_ 6:ggg 7:_
train-A9202-4,1:gg 2:ppp 3:_ 4:g 5:_ 6:ggg 7:_
train-A9203-0,1:rr 2:pp 3:rr 4:_ 5:gg 6:yyyy 7:_
train-A9203-1,1:rr 2:pp 3:rr 4:_ 5:gg 6:_ 7:_
train-A9203-2,1:rr 2:pp 3:rr 4:_ 5:_ 6:_ 7:_
train-A9203-3,1:rr 2:pp 3:_ 4:_ 5:_ 6:_ 7:_
train-A9203-4,1:r 2:pp 3:_ 4:_ 5:_ 6:_ 7:_
train-A9204-0,1:_ 2:pp 3:pppp 4:yyy 5:yy 6:_ 7:gggg
train-A9204-1,1:_ 2:pp 3:p 4:yyy 5:yy 6:_ 7:gggg
train-A9204-2,1:_ 2:pp 3:p 4:yyy 5:yy 6:_ 7:gg
train-A9204-3,1:_ 2:pp 3:p 4:yyy 5:yy 6:_ 7:_
train-A9204-4,1:_ 2:ppp 3:_ 4:yyy 5:yy 6:_ 7:_
train-A9205-0,1:yyy 2:yyyy 3:ooo 4:rrr 5:oooo 6:rr 7:gggg
train-A9205-1,1:yyy 2:yyyy 3:ooo 4:rr 5:oooo 6:rr 7:gggg
train-A9205-2,1:yyy 2:yyyy 3:ooo 4:rr 5:oooo 6:_ 7:gggg
train-A9205-3,1:yyy 2:yyyy 3:_ 4:rr 5:oooo 6:_ 7:gggg
train-A9205-4,1:yyy 2:yyyy 3:_ 4:rr 5:oo 6:_ 7:gggg
train-A9206-0,1:_ 2:ppp 3:_ 4:rr 5:_ 6:gg 7:_
train-A9206-1,1:_ 2:_ 3:_ 4:rr 5:_ 6:gg 7:_
train-A9206-2,1:_ 2:_ 3:_ 4:r 5:_ 6:gg 7:_
train-A9206-3,1:_ 2:_ 3:_ 4:rgg 5:_ 6:_ 7:_
train-A9206-4,1:_ 2:_ 3:_ 4:r 5:_ 6:_ 7:_
train-A9207-0,1:g 2:y 3:ooo 4:yyy 5:pp 6:rr 7:g
train-A9207-1,1:g 2:_ 3:ooo 4:yyy 5:pp 6:rry 7:g
train-A9207-2,1:g 2:_ 3:ooo 4:yyy 5:pp 6:bbb 7:g
train-A9207-3,1:g 2:_ 3:ooo 4:y 5:pp 6:bbb 7:g
train-A9207-4,1:g 2:_ 3:_ 4:y 5:pp 6:bbb 7:g
train-A9208-0,1:gggg 2:p 3:yyy 4:_ 5:_ 6:gggg 7:yyyy
train-A9208-1,1:gggg 2:_ 3:yyy 4:_ 5:_ 6:gggg 7:yyyy
train-A9208-2,1:_ 2:_ 3:yyy 4:_ 5:_ 6:gggg 7:yyyy
train-A9208-3,1:_ 2:_ 3:_ 4:_ 5:_ 6:gggg 7:yyyy
train-A9208-4,1:_ 2:_ 3:_ 4:_ 5:_ 6:gggg 7:yyy
train-A9209-0,1:ppp 2:pppp 3:r 4:_ 5:_ 6:r 7:oooo
train-A9209-1,1:ppp 2:pppp 3:r 4:_ 5:_ 6:_ 7:oooo
train-A9209-2,1:ppp 2:pppp 3:r 4:_ 5:_ 6:_ 7:oo
train-A9209-3,1:ppp 2:pppp 3:roo 4:_ 5:_ 6:_ 7:_
train-A9209-4,1:p 2:pppp 3:roo 4:_ 5:_ 6:_ 7:_
train-A9210-0,1:_ 2:_ 3:_ 4:ppp 5:r 6:rrrr 7:_
train-A9210-1,1:_ 2:_ 3:_ 4:ppp 5:_ 6:rrrr 7:_
train-A9210-2,1:_ 2:_ 3:_ 4:_ 5:_ 6:rrrr 7:_
train-A9210-3,1:_ 2:_ 3:_ 4:_ 5:_ 6:rrr 7:_
train-A9210-4,1:_ 2:_ 3:_ 4:_ 5:_ 6:r 7:_
train-A9211-0,1:y 2:_ 3:_ 4:_ 5:ooo 6:yyy 7:_
train-A9211-1,1:y 2:_ 3:_ 4:_ 5:o 6:yyy 7:_
train-A9211-2,1:_ 2:_ 3:_ 4:_ 5:o 6:yyy 7:_
train-A9211-3,1:_ 2:_ 3:_ 4:_ 5:o 6:y 7:_
train-A9211-4,1:_ 2:_ 3:_ 4:_ 5:o 6:_ 7:_
train-A9213-0,1:yyy 2:pp 3:gggg 4:rr 5:pp 6:_ 7:r
train-A9213-1,1:yyy 2:pp 3:gggg 4:rr 5:pp 6:_ 7:_
train-A9213-2,1:yy 2:pp 3:gggg 4:rr 5:pp 6:_ 7:_
train-A9213-3,1:yy 2:p 3:gggg 4:rr 5:pp 6:_ 7:_
train-A9213-4,1:yy 2:_ 3:gggg 4:rr 5:pp 6:_ 7:_
train-A9214-0,1:rrrr 2:y 3:ooo 4:ggg 5:_ 6:gg 7:_
train-A9214-1,1:rrrr 2:_ 3:ooo 4:ggg 5:_ 6:gg 7:_
train-A9214-2,1:rrrr 2:_ 3:ooo 4:ggg 5:_ 6:g 7:_
train-A9214-3,1:rrrr 2:_ 3:ooo 4:_ 5:_ 6:g 7:_
train-A9214-4,1:rr 2:_ 3:ooo 4:_ 5:_ 6:g 7:_
train-A9218-0,1:yy 2:ppp 3:rrrr 4:pppp 5:oo 6:_ 7:rrr
train-A9218-1,1:yy 2:pp 3:rrrr 4:pppp 5:oo 6:_ 7:rrr
train-A9218-2,1:yy 2:pp 3:rrrr 4:ppp 5:oo 6:_ 7:rrr
train-A9218-3,1:yy 2:pp 3:_ 4:ppp 5:oo 6:_ 7:rrr
train-A9218-4,1:yy 2:pp 3:_ 4:pp 5:oo 6:_ 7:rrr
train-A9219-0,1:yy 2:ggg 3:yyy 4:_ 5:pppp 6:_ 7:_
train-A9219-1,1:yy 2:_ 3:yyy 4:_ 5:pppp 6:_ 7:_
train-A9219-2,1:yy 2:_ 3:_ 4:_ 5:pppp 6:_ 7:_
train-A9219-3,1:y 2:_ 3:_ 4:_ 5:pppp 6:_ 7:_
train-A9219-4,1:y 2:_ 3:_ 4:_ 5:pp 6:_ 7:_
train-A9220-0,1:yyy 2:rrr 3:_ 4:g 5:_ 6:_ 7:oo
train-A9220-1,1:yyy 2:r 3:_ 4:g 5:_ 6:_ 7:oo
train-A9220-2,1:yyy 2:_ 3:_ 4:g 5:_ 6:_ 7:oo
train-A9220-3,1:yyy 2:_ 3:_ 4:goo 5:_ 6:_ 7:_
train-A9220-4,1:yyy 2:_ 3:_ 4:bbb 5:_ 6:_ 7:_
train-A9221-0,1:_ 2:pppp 3:_ 4:g 5:_ 6:ppp 7:_
train-A9221-1,1:_ 2:pppp 3:_ 4:g 5:_ 6:pp 7:_
train-A9221-2,1:_ 2:pppp 3:_ 4:g 5:_ 6:_ 7:_
train-A9221-3,1:_ 2:ppp 3:_ 4:g 5:_ 6:_ 7:_
train-A9221-4,1:_ 2:p 3:_ 4:g 5:_ 6:_ 7:_
train-A9222-0,1:yyy 2:ppp 3:yyyy 4:yyy 5:p 6:pp 7:_
train-A9222-1,1:yyy 2:ppp 3:yyyy 4:yyy 5:_ 6:ppp 7:_
train-A9222-2,1:yyy 2:ppp 3:_ 4:yyy 5:_ 6:ppp 7:_
train-A9222-3,1:yyy 2:_ 3:_ 4:yyy 5:_ 6:ppp 7:_
train-A9222-4,1:yyy 2:_ 3:_ 4:yyy 5:_ 6:p 7:_
train-A9223-0,1:yyyy 2:_ 3:_ 4:p 5:oooo 6:pp 7:yyyy
train-A9223-1,1:yyyy 2:_ 3:_ 4:_ 5:oooo 6:ppp 7:yyyy
train-A9223-2,1:yyyy 2:_ 3:_ 4:_ 5:oooo 6:ppp 7:y
train-A9223-3,1:yyyy 2:_ 3:_ 4:_ 5:oo 6:ppp 7:y
train-A9223-4,1:yyyy 2:_ 3:_ 4:_ 5:ooy 6:ppp 7:_
train-A9224-0,1:gg 2:ggg 3:ppp 4:_ 5:yy 6:_ 7:g
train-A9224-1,1:gg 2:ggg 3:ppp 4:_ 5:yyg 6:_ 7:_
train-A9224-2,1:gg 2:ggg 3:ppp 4:_ 5:bbb 6:_ 7:_
train-A9224-3,1:gg 2:ggg 3:_ 4:_ 5:bbb 6:_ 7:_
train-A9224-4,1:g 2:ggg 3:_ 4:_ 5:bbb 6:_ 7:_
train-A9225-0,1:_ 2:_ 3:rr 4:ggg 5:g 6:pp 7:_
train-A9225-1,1:_ 2:_ 3:rr 4:ggg 5:gpp 6:_ 7:_
train-A9225-2,1:_ 2:_ 3:_ 4:ggg 5:gpp 6:_ 7:_
train-A9225-3,1:_ 2:_ 3:_ 4:ggg 5:bbb 6:_ 7:_
train-A9225-4,1:_ 2:_ 3:_ 4:ggg 5:_ 6:_ 7:_
train-A9226-0,1:_ 2:y 3:oo 4:g 5:p 6:_ 7:_
train-A9226-1,1:_ 2:yp 3:oo 4:g 5:_ 6:_ 7:_
train-A9226-2,1:_ 2:ypg 3:oo 4:_ 5:_ 6:_ 7:_
train-A9226-3,1:_ 2:bbb 3:oo 4:_ 5:_ 6:_ 7:_
train-A9226-4,1:_ 2:bbb 3:_ 4:_ 5:_ 6:_ 7:_
train-A9227-0,1:rr 2:oooo 3:oooo 4:y 5:ppp 6:_ 7:ppp
train-A9227-1,1:r 2:oooo 3:oooo 4:y 5:ppp 6:_ 7:ppp
train-A9227-2,1:r 2:oooo 3:oooo 4:y 5:_ 6:_ 7:ppp
train-A9227-3,1:r 2:oooo 3:oooo 4:_ 5:_ 6:_ 7:ppp
train-A9227-4,1:r 2:oooo 3:_ 4:_ 5:_ 6:_ 7:ppp
train-A9228-0,1:pppp 2:r 3:rrrr 4:_ 5:_ 6:ppp 7:_
train-A9228-1,1:pppp 2:r 3:rrrr 4:_ 5:_ 6:p 7:_
train-A9228-2,1:pppp 2:r 3:rrrr 4:_ 5:_ 6:_ 7:_
train-A9228-3,1:pppp 2:r 3:_ 4:_ 5:_ 6:_ 7:_
train-A9228-4,1:pppp 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9229-0,1:o 2:_ 3:gggg 4:o 5:_ 6:_ 7:_
train-A9229-1,1:o 2:_ 3:gg 4:o 5:_ 6:_ 7:_
train-A9229-2,1:o 2:_ 3:_ 4:o 5:_ 6:_ 7:_
train-A9229-3,1:o 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9229-4,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9230-0,1:pppp 2:_ 3:_ 4:y 5:pp 6:r 7:oooo
train-A9230-1,1:pppp 2:_ 3:_ 4:y 5:ppr 6:_ 7:oooo
train-A9230-2,1:pppp 2:_ 3:_ 4:y 5:p 6:_ 7:oooo
train-A9230-3,1:pppp 2:_ 3:_ 4:_ 5:py 6:_ 7:oooo
train-A9230-4,1:pppp 2:_ 3:_ 4:_ 5:bb 6:_ 7:oooo
train-A9231-0,1:_ 2:ooo 3:pp 4:yyy 5:o 6:y 7:o
train-A9231-1,1:_ 2:ooo 3:pp 4:yyy 5:o 6:y 7:_
train-A9231-2,1:_ 2:ooo 3:pp 4:yyy 5:_ 6:y 7:_
train-A9231-3,1:_ 2:ooo 3:_ 4:yyy 5:_ 6:y 7:_
train-A9231-4,1:_ 2:ooo 3:_ 4:yyy 5:_ 6:_ 7:_
train-A9233-0,1:pppp 2:_ 3:ggg 4:oo 5:r 6:ooo 7:p
train-A9233-1,1:pppp 2:_ 3:ggg 4:oo 5:_ 6:ooo 7:pr
train-A9233-2,1:pppp 2:_ 3:ggg 4:oo 5:_ 6:ooo 7:bb
train-A9233-3,1:pppp 2:_ 3:ggg 4:oo 5:_ 6:_ 7:bb
train-A9233-4,1:ppp 2:_ 3:ggg 4:oo 5:_ 6:_ 7:bb
train-A9235-0,1:rr 2:_ 3:yyyy 4:_ 5:oo 6:_ 7:_
train-A9235-1,1:rr 2:_ 3:yyyy 4:_ 5:_ 6:_ 7:_
train-A9235-2,1:rr 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9235-3,1:r 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9235-4,1:_ 2:_ 3:_ 4:_ 5:_ 6:_ 7:_
train-A9236-0,1:_ 2:_ 3:rrrr 4:_ 5:rr 6:rrrr 7:_
train-A9236-1,1:_ 2:_ 3:rrrr 4:_ 5:r 6:rrrr 7:_
train-A9236-2,1:_ 2:_ 3:rrrr 4:_ 5:r 6:r 7:_
